game_name,current_title,optimized_title,current_description,optimized_description,keywords
Apex Legends,Apex Legends | PC互換チェッカー,Apex Legends 推奨スペック｜予算別PC構成提案【2026年最新】,Apex LegendsのPC推奨スペックを確認できます。,Apex Legendsの推奨スペックと予算別PC構成を提案。FHD 144fps・WQHD対応。RTX 4060で10万円台、RTX 5070で15万円台の最適構成をAIが診断。無料チャット相談OK。,"Apex Legends 推奨スペック, Apex PC, ゲーミングPC 10万円, RTX 4060 Apex"
VALORANT,VALORANT | PC互換チェッカー,VALORANT 推奨スペック｜軽量PCで144fps安定【2026年版】,VALORANTのPC推奨スペックを確認できます。,VALORANTの推奨スペックと予算別PC構成。軽量ゲームで8万円台から144fps安定。RTX 4060なら240fps以上。最適なGPU・CPU構成をAIが提案。,"VALORANT 推奨スペック, VALORANT PC, 軽量ゲーミングPC, 8万円 ゲーミングPC"
Fortnite,Fortnite | PC互換チェッカー,Fortnite 推奨スペック｜144fps安定PC構成【2026年最新】,FortniteのPC推奨スペックを確認できます。,Fortniteの推奨スペックと予算別PC構成。FHD 144fpsなら10万円台、240fpsなら15万円台。RTX 4060/5070の最適構成をAI診断。,"Fortnite 推奨スペック, Fortnite PC, 144fps PC, RTX 4060 Fortnite"
Cyberpunk 2077,Cyberpunk 2077 | PC互換チェッカー,Cyberpunk 2077 推奨スペック｜レイトレ対応PC構成【2026年版】,Cyberpunk 2077のPC推奨スペックを確認できます。,Cyberpunk 2077の推奨スペック。レイトレ有効なら RTX 5070以上、4K高画質ならRTX 5080推奨。予算15-20万円の最適構成をAI提案。,"Cyberpunk 2077 推奨スペック, サイバーパンク PC, レイトレ PC, RTX 5070"
Elden Ring,Elden Ring | PC互換チェッカー,Elden Ring 推奨スペック｜60fps安定PC構成【2026年最新】,Elden RingのPC推奨スペックを確認できます。,Elden Ringの推奨スペック。FHD 60fps安定ならRTX 4060、WQHD高画質ならRTX 5070。予算10-15万円の最適構成をAI診断。,"Elden Ring 推奨スペック, エルデンリング PC, RTX 4060 Elden Ring"
Monster Hunter Wilds,Monster Hunter Wilds | PC互換チェッカー,Monster Hunter Wilds 推奨スペック｜60fps安定PC【2026年版】,Monster Hunter WildsのPC推奨スペックを確認できます。,Monster Hunter Wildsの推奨スペック。FHD 60fps安定ならRTX 5070、WQHD高画質ならRTX 5080推奨。予算15-20万円の最適構成をAI提案。,"Monster Hunter Wilds 推奨スペック, モンハンワイルズ PC, RTX 5070 モンハン"
Call of Duty: Modern Warfare,Call of Duty | PC互換チェッカー,CoD Modern Warfare 推奨スペック｜144fps PC構成【2026年版】,Call of DutyのPC推奨スペックを確認できます。,Call of Duty Modern Warfareの推奨スペック。FHD 144fpsなら RTX 4060、WQHDならRTX 5070。予算10-15万円の最適構成をAI診断。,"CoD 推奨スペック, Call of Duty PC, 144fps CoD, RTX 4060 CoD"
Overwatch 2,Overwatch 2 | PC互換チェッカー,Overwatch 2 推奨スペック｜144fps安定PC【2026年最新】,Overwatch 2のPC推奨スペックを確認できます。,Overwatch 2の推奨スペック。軽量で9万円台から144fps安定。RTX 4060なら240fps以上。最適なGPU構成をAI提案。,"Overwatch 2 推奨スペック, オーバーウォッチ PC, 144fps Overwatch"
League of Legends,League of Legends | PC互換チェッカー,LoL 推奨スペック｜超軽量で5万円台から【2026年版】,League of LegendsのPC推奨スペックを確認できます。,League of Legends（LoL）の推奨スペック。超軽量で5万円台から144fps安定。RTX 3050でも十分。最安構成をAI診断。,"LoL 推奨スペック, League of Legends PC, 軽量PC, 5万円 ゲーミングPC"
Minecraft,Minecraft | PC互換チェッカー,Minecraft 推奨スペック｜影MOD対応PC構成【2026年最新】,MinecraftのPC推奨スペックを確認できます。,Minecraftの推奨スペック。バニラなら5万円台、影MOD対応なら RTX 4060以上。予算別の最適構成をAI提案。,"Minecraft 推奨スペック, マイクラ PC, 影MOD PC, RTX 4060 Minecraft"
GTA V,GTA V | PC互換チェッカー,GTA V 推奨スペック｜60fps安定PC構成【2026年版】,GTA VのPC推奨スペックを確認できます。,GTA Vの推奨スペック。FHD 60fps安定なら RTX 4060、高画質MOD対応なら RTX 5070。予算10-15万円の最適構成をAI診断。,"GTA V 推奨スペック, GTA5 PC, RTX 4060 GTA"
Red Dead Redemption 2,Red Dead Redemption 2 | PC互換チェッカー,RDR2 推奨スペック｜高画質60fps PC構成【2026年最新】,Red Dead Redemption 2のPC推奨スペックを確認できます。,Red Dead Redemption 2の推奨スペック。高画質60fpsなら RTX 5070、4Kなら RTX 5080推奨。予算15-20万円の最適構成をAI提案。,"RDR2 推奨スペック, Red Dead PC, RTX 5070 RDR2"
Counter-Strike 2,Counter-Strike 2 | PC互換チェッカー,CS2 推奨スペック｜240fps安定PC構成【2026年版】,Counter-Strike 2のPC推奨スペックを確認できます。,Counter-Strike 2（CS2）の推奨スペック。144fps安定なら RTX 4060、240fpsなら RTX 5070。競技志向PC構成をAI診断。,"CS2 推奨スペック, Counter-Strike 2 PC, 240fps PC, RTX 4060 CS2"
Palworld,Palworld | PC互換チェッカー,Palworld 推奨スペック｜60fps安定PC構成【2026年最新】,PalworldのPC推奨スペックを確認できます。,Palworldの推奨スペック。FHD 60fps安定なら RTX 4060、マルチプレイ快適なら16GB RAM推奨。予算10-15万円の最適構成をAI提案。,"Palworld 推奨スペック, パルワールド PC, RTX 4060 Palworld"
Baldur's Gate 3,Baldur's Gate 3 | PC互換チェッカー,Baldur's Gate 3 推奨スペック｜高画質60fps PC【2026年版】,Baldur's Gate 3のPC推奨スペックを確認できます。,Baldur's Gate 3の推奨スペック。高画質60fpsなら RTX 4060、Ultra設定なら RTX 5070推奨。予算10-15万円の最適構成をAI診断。,"Baldur's Gate 3 推奨スペック, BG3 PC, RTX 4060 BG3"
Starfield,Starfield | PC互換チェッカー,Starfield 推奨スペック｜60fps安定PC構成【2026年最新】,StarfieldのPC推奨スペックを確認できます。,Starfieldの推奨スペック。FHD 60fps安定なら RTX 5070、高画質MODなら RTX 5080推奨。予算15-20万円の最適構成をAI提案。,"Starfield 推奨スペック, スターフィールド PC, RTX 5070 Starfield"
The Witcher 3,The Witcher 3 | PC互換チェッカー,The Witcher 3 推奨スペック｜高画質60fps PC【2026年版】,The Witcher 3のPC推奨スペックを確認できます。,The Witcher 3の推奨スペック。高画質60fpsなら RTX 4060、レイトレ有効なら RTX 5070推奨。予算10-15万円の最適構成をAI診断。,"The Witcher 3 推奨スペック, ウィッチャー3 PC, RTX 4060 Witcher"
